"id","source","pmcid","title","journalTitle","issue","journalVolume","pubYear","pageInfo","pubType","isOpenAccess","inEPMC","inPMC","hasPDF","hasBook","hasSuppl","citedByCount","hasReferences","hasTextMinedTerms","hasDbCrossReferences","hasLabsLinks","hasTMAccessionNumbers","firstIndexDate","firstPublicationDate","journalIssn","doi","authorString","pmid"
"PMC2505418","PMC","PMC2505418","Reports and Analyses and Descriptions of New Inventions in Medicine, Surgery, Dietetics and the Allied Sciences","Br Med J","2039","1","1900","200-200","research-article; journal article","N","Y","Y","Y","N","N",0,"N","N","N","N","N","2010-02-22","1900-01-27","0007-1447",NA,NA,NA
"PMC2505421","PMC","PMC2505421","Royal Navy and Army Medical Services","Br Med J","2039","1","1900","236-236","research-article; journal article","N","Y","Y","Y","N","N",0,"N","N","N","N","N","2010-02-22","1900-01-27","0007-1447",NA,NA,NA
"PMC2505411","PMC","PMC2505411","Medico-Legal and Medico-Ethical","Br Med J","2039","1","1900","236-237","research-article; journal article","N","Y","Y","Y","N","N",0,"N","N","N","N","N","2010-02-22","1900-01-27","0007-1447",NA,NA,NA
"PMC2505442","PMC","PMC2505442","Reports of Societies","Br Med J","2039","1","1900","196-198","research-article; journal article","N","Y","Y","Y","N","N",0,"N","N","N","N","N","2010-02-22","1900-01-27","0007-1447",NA,NA,NA
"PMC2505427","PMC","PMC2505427","The War in South Africa","Br Med J","2039","1","1900","219-225","research-article; journal article","N","Y","Y","Y","N","N",0,"N","N","N","N","N","2010-02-22","1900-01-27","0007-1447",NA,NA,NA
"PMC2505428","PMC","PMC2505428","Public Health","Br Med J","2039","1","1900","237-237","research-article; journal article","N","Y","Y","Y","N","N",0,"N","N","N","N","N","2010-02-22","1900-01-27","0007-1447",NA,NA,NA
"PMC2505430","PMC","PMC2505430","Reports on Medical and Surgical Practice in the Hospitals and Asylums of the British Empire","Br Med J","2039","1","1900","195-196","research-article; journal article","N","Y","Y","Y","N","N",0,"N","N","N","N","N","2010-02-22","1900-01-27","0007-1447",NA,NA,NA
"PMC2505433","PMC","PMC2505433","The Plague","Br Med J","2039","1","1900","210-210","research-article; journal article","N","Y","Y","Y","N","N",0,"N","Y","N","N","N","2010-02-22","1900-01-27","0007-1447",NA,NA,NA
"PMC5269835","PMC","PMC5269835","The Book World of Medicine and Science","Hospital (Lond 1886)","695","27","1900","262-262","book-review; book review","Y","Y","Y","Y","N","N",0,"N","N","N","N","N","2018-05-26","1900-01-20","0267-6478",NA,NA,NA
"PMC2505573","PMC","PMC2505573","Reviews","Br Med J","2038","1","1900","147-149","review-article; review; journal article","N","Y","Y","Y","N","N",0,"N","N","N","N","N","2010-02-22","1900-01-20","0007-1447",NA,NA,NA
"PMC2505587","PMC","PMC2505587","Inspector-General Edward Townsend Mortimer","Br Med J","2038","1","1900","174-174","obituary","N","Y","Y","Y","N","N",0,"N","N","N","N","N","2010-02-22","1900-01-20","0007-1447",NA,NA,NA
"PMC2505588","PMC","PMC2505588","John Gardner Dudley, M.A., M.D.Cantab., M.R.C.P.Lond","Br Med J","2038","1","1900","173-173","obituary","N","Y","Y","Y","N","N",0,"N","N","N","N","N","2010-02-22","1900-01-20","0007-1447",NA,NA,NA
"PMC2505590","PMC","PMC2505590","George Cheesman, M.R.C.S., L.R.C.P., L.S.A","Br Med J","2038","1","1900","173-173","obituary","N","Y","Y","Y","N","N",0,"N","N","N","N","N","2010-02-22","1900-01-20","0007-1447",NA,NA,NA
"PMC2505605","PMC","PMC2505605","Mr. John Gorham","Br Med J","2038","1","1900","173-174","obituary","N","Y","Y","Y","N","N",0,"N","N","N","N","N","2010-02-22","1900-01-20","0007-1447",NA,NA,NA
"PMC2505606","PMC","PMC2505606","Major Charles Pope Walker, M.B","Br Med J","2038","1","1900","173-173","obituary","N","Y","Y","Y","N","N",0,"N","N","N","N","N","2010-02-22","1900-01-20","0007-1447",NA,NA,NA
"PMC2505607","PMC","PMC2505607","Samuel Roberts Mason, M.D.Dubl., F.R.C.S.Irel","Br Med J","2038","1","1900","173-173","obituary","N","Y","Y","Y","N","N",0,"N","Y","N","N","N","2010-02-22","1900-01-20","0007-1447",NA,NA,NA
"PMC2505574","PMC","PMC2505574","Errata","Br Med J","2038","1","1900","179-179","correction; corrected and republished article","N","Y","Y","Y","N","N",0,"N","N","N","N","N","2010-02-22","1900-01-20","0007-1447",NA,NA,NA
"PMC2505579","PMC","PMC2505579","Errata","Br Med J","2038","1","1900","179-179","correction; corrected and republished article","N","Y","Y","Y","N","N",0,"N","N","N","N","N","2010-09-05","1900-01-20","0007-1447",NA,NA,NA
"PMC2505609","PMC","PMC2505609","Letters, Notes, and Answers to Correspondents","Br Med J","2038","1","1900","179-180","letter","N","Y","Y","Y","N","N",0,"N","N","N","N","N","2010-02-22","1900-01-20","0007-1447",NA,NA,NA
"PMC2505597","PMC","PMC2505597","Colonel Lawrie on Malaria","Br Med J","2038","1","1900","171-171","letter","N","Y","Y","Y","N","N",0,"N","Y","N","N","N","2010-02-22","1900-01-20","0007-1447",NA,NA,NA
"PMC2505575","PMC","PMC2505575","Medical Organisation","Br Med J","2038","1","1900","172-172","letter","N","Y","Y","Y","N","N",0,"N","N","N","N","N","2010-02-22","1900-01-20","0007-1447",NA,NA,NA
"PMC2505578","PMC","PMC2505578","The Duty to Send Information to the Coroner","Br Med J","2038","1","1900","170-170","letter","N","Y","Y","Y","N","N",0,"N","N","N","N","N","2010-02-22","1900-01-20","0007-1447",NA,NA,NA
"PMC2505580","PMC","PMC2505580","The Duty to Send Information to the Coroner","Br Med J","2038","1","1900","170-170","letter","N","Y","Y","Y","N","N",0,"N","N","N","N","N","2010-02-22","1900-01-20","0007-1447",NA,NA,NA
"PMC2505582","PMC","PMC2505582","An Old Directory","Br Med J","2038","1","1900","169-170","letter","N","Y","Y","Y","N","N",0,"N","N","N","N","N","2010-02-22","1900-01-20","0007-1447",NA,NA,NA
"PMC2505583","PMC","PMC2505583","Medical Organisation","Br Med J","2038","1","1900","172-172","letter","N","Y","Y","Y","N","N",0,"N","N","N","N","N","2010-02-22","1900-01-20","0007-1447",NA,NA,NA
"PMC2505584","PMC","PMC2505584","Attempted Amalgamation of Defence Societies","Br Med J","2038","1","1900","169-169","letter","N","Y","Y","Y","N","N",0,"N","N","N","N","N","2010-02-22","1900-01-20","0007-1447",NA,NA,NA
"PMC2505585","PMC","PMC2505585","Special Correspondence","Br Med J","2038","1","1900","168-168","letter","N","Y","Y","Y","N","N",0,"N","N","N","N","N","2010-02-22","1900-01-20","0007-1447",NA,NA,NA
"PMC2505589","PMC","PMC2505589","The Metropolitan Asylums Board and its Assistant Medical Officers","Br Med J","2038","1","1900","171-171","letter","N","Y","Y","Y","N","N",0,"N","N","N","N","N","2010-02-22","1900-01-20","0007-1447",NA,NA,NA
"PMC2505591","PMC","PMC2505591","Dr. W. J. Collins and the University of London","Br Med J","2038","1","1900","169-169","letter","N","Y","Y","Y","N","N",0,"N","N","N","N","N","2010-02-22","1900-01-20","0007-1447",NA,NA,NA
"PMC2505604","PMC","PMC2505604","The Use of Opium in China","Br Med J","2038","1","1900","170-171","letter","N","Y","Y","Y","N","N",0,"N","N","N","N","N","2010-02-22","1900-01-20","0007-1447",NA,NA,NA
"PMC2505615","PMC","PMC2505615","Ambulance for the Mounted Service","Br Med J","2038","1","1900","171-171","letter","N","Y","Y","Y","N","N",0,"N","N","N","N","N","2010-02-22","1900-01-20","0007-1447",NA,NA,NA
"PMC2505572","PMC","PMC2505572","Public Health and Poor-Law Medical Services","Br Med J","2038","1","1900","176-177","research-article; journal article","N","Y","Y","Y","N","N",0,"N","N","N","N","N","2010-02-22","1900-01-20","0007-1447",NA,NA,NA
"PMC2505577","PMC","PMC2505577","British Medical Journal","Br Med J","2038","1","1900","151-160","research-article; journal article","N","Y","Y","Y","N","N",0,"N","N","N","N","N","2010-02-22","1900-01-20","0007-1447",NA,NA,NA
"PMC2505592","PMC","PMC2505592","Literary Notes","Br Med J","2038","1","1900","166-166","research-article; journal article","N","Y","Y","Y","N","N",0,"N","N","N","N","N","2010-02-22","1900-01-20","0007-1447",NA,NA,NA
"PMC2505593","PMC","PMC2505593","Association Intelligence","Br Med J","2038","1","1900","167-168","research-article; journal article","N","Y","Y","Y","N","N",0,"N","N","N","N","N","2010-02-22","1900-01-20","0007-1447",NA,NA,NA
"PMC2505599","PMC","PMC2505599","The War in South Africa","Br Med J","2038","1","1900","161-164","research-article; journal article","N","Y","Y","Y","N","N",0,"N","N","N","N","N","2010-02-22","1900-01-20","0007-1447",NA,NA,NA
"PMC2505600","PMC","PMC2505600","The Plague","Br Med J","2038","1","1900","166-167","research-article; journal article","N","Y","Y","Y","N","N",0,"N","Y","N","N","N","2010-02-22","1900-01-20","0007-1447",NA,NA,NA
"PMC2505601","PMC","PMC2505601","An Epitome of Current Medical Literature","Br Med J","2038","1","1900","E9-E12","research-article; journal article","N","Y","Y","Y","N","N",0,"N","N","N","N","N","2010-02-22","1900-01-20","0007-1447",NA,NA,NA
"PMC2505608","PMC","PMC2505608","Royal Navy and Army Medical Services","Br Med J","2038","1","1900","174-175","research-article; journal article","N","Y","Y","Y","N","N",0,"N","N","N","N","N","2010-02-22","1900-01-20","0007-1447",NA,NA,NA
"PMC2505614","PMC","PMC2505614","Reports on Medical and Surgical Practice in the Hospitals and Asylums of the British Empire","Br Med J","2038","1","1900","141-142","research-article; journal article","N","Y","Y","Y","N","N",0,"N","N","N","N","N","2010-02-22","1900-01-20","0007-1447",NA,NA,NA
"PMC2505616","PMC","PMC2505616","Reports of Societies","Br Med J","2038","1","1900","142-147","research-article; journal article","N","Y","Y","Y","N","N",0,"N","N","N","N","N","2010-02-22","1900-01-20","0007-1447",NA,NA,NA
"PMC2505617","PMC","PMC2505617","A Clinical Lecture on Ulcer of the Stomach : Delivered at the General Hospital, Birmingham","Br Med J","2038","1","1900","121-122","research-article; journal article","N","Y","Y","Y","N","N",0,"N","Y","N","N","N","2010-02-22","1900-01-20","0007-1447",NA,NA,NA
"PMC5269173","PMC","PMC5269173","The Book World of Medicine and Science","Hospital (Lond 1886)","694","27","1900","246-246","book-review; book review","Y","Y","Y","Y","N","N",0,"N","N","N","N","N","2018-05-26","1900-01-13","0267-6478",NA,NA,NA
"PMC2505567","PMC","PMC2505567","Reviews","Br Med J","2037","1","1900","79-82","review-article; review; journal article","N","Y","Y","Y","N","N",0,"N","Y","N","N","N","2010-02-22","1900-01-13","0007-1447",NA,NA,NA
"PMC2505547","PMC","PMC2505547","Deputy-Surgeon-General David Cullen, A.M.D","Br Med J","2037","1","1900","113-113","obituary","N","Y","Y","Y","N","N",0,"N","N","N","N","N","2010-02-22","1900-01-13","0007-1447",NA,NA,NA
"PMC2505548","PMC","PMC2505548","T. Bonnici, M.D","Br Med J","2037","1","1900","112-112","obituary","N","Y","Y","Y","N","N",0,"N","N","N","N","N","2010-02-22","1900-01-13","0007-1447",NA,NA,NA
"PMC2505553","PMC","PMC2505553","Dr. Frederick Williams Lewis","Br Med J","2037","1","1900","113-113","obituary","N","Y","Y","Y","N","N",0,"N","N","N","N","N","2010-02-22","1900-01-13","0007-1447",NA,NA,NA
"PMC2505557","PMC","PMC2505557","The Late Sir James Paget","Br Med J","2037","1","1900","113-113","obituary","N","Y","Y","Y","N","N",0,"N","N","N","N","N","2010-02-22","1900-01-13","0007-1447",NA,NA,NA
"PMC2505560","PMC","PMC2505560","Robert Robertson, M.D.Edin","Br Med J","2037","1","1900","112-113","obituary","N","Y","Y","Y","N","N",0,"N","N","N","N","N","2010-02-22","1900-01-13","0007-1447",NA,NA,NA
"PMC2505526","PMC","PMC2505526","George Elder, M.D., F.R.C.P.Edin","Br Med J","2037","1","1900","113-113","obituary","N","Y","Y","Y","N","N",0,"N","N","N","N","N","2010-02-22","1900-01-13","0007-1447",NA,NA,NA
"PMC2505527","PMC","PMC2505527","Alexander Grant, F.R.C.S.Edin","Br Med J","2037","1","1900","111-112","obituary","N","Y","Y","Y","N","N",0,"N","N","N","N","N","2010-02-22","1900-01-13","0007-1447",NA,NA,NA
"PMC2505539","PMC","PMC2505539","William Nealor Thursfield, M.D.Edin., M.R.C.S., D.P.H.Cantab","Br Med J","2037","1","1900","111-111","obituary","N","Y","Y","Y","N","N",0,"N","N","N","N","N","2010-02-22","1900-01-13","0007-1447",NA,NA,NA
"PMC2505558","PMC","PMC2505558","The Metropolitan Asylums Board and its Assistant Medical Officers","Br Med J","2037","1","1900","110-110","letter","N","Y","Y","Y","N","N",0,"N","N","N","N","N","2010-02-22","1900-01-13","0007-1447",NA,NA,NA
"PMC2505549","PMC","PMC2505549","The Military Medical Arrangements in Natal","Br Med J","2037","1","1900","107-107","letter","N","Y","Y","Y","N","N",0,"N","N","N","N","N","2010-02-22","1900-01-13","0007-1447",NA,NA,NA
"PMC2505530","PMC","PMC2505530","The Statistics of the Samaritan Free Hospital","Br Med J","2037","1","1900","110-110","letter","N","Y","Y","Y","N","N",0,"N","N","N","N","N","2010-02-22","1900-01-13","0007-1447",NA,NA,NA
"PMC2505531","PMC","PMC2505531","Special Correspondence","Br Med J","2037","1","1900","106-107","letter","N","Y","Y","Y","N","N",0,"N","N","N","N","N","2010-02-22","1900-01-13","0007-1447",NA,NA,NA
"PMC2505550","PMC","PMC2505550","Ocean Voyages in Pulmonary Phthisis","Br Med J","2037","1","1900","108-108","letter","N","Y","Y","Y","N","N",0,"N","Y","N","N","N","2010-02-22","1900-01-13","0007-1447",NA,NA,NA
"PMC2505552","PMC","PMC2505552","The Medical Profession and the War","Br Med J","2037","1","1900","108-109","letter","N","Y","Y","Y","N","N",0,"N","N","N","N","N","2010-02-22","1900-01-13","0007-1447",NA,NA,NA
"PMC2505566","PMC","PMC2505566","The Income of the General Medical Council","Br Med J","2037","1","1900","109-110","letter","N","Y","Y","Y","N","N",0,"N","N","N","N","N","2010-02-22","1900-01-13","0007-1447",NA,NA,NA
"PMC2505570","PMC","PMC2505570","Ocean Voyages in Pulmonary Phthisis","Br Med J","2037","1","1900","108-108","letter","N","Y","Y","Y","N","N",0,"N","Y","N","N","N","2010-02-22","1900-01-13","0007-1447",NA,NA,NA
"PMC2505562","PMC","PMC2505562","Letters, Notes, and Answers to Correspondents","Br Med J","2037","1","1900","118-120","letter","N","Y","Y","Y","N","N",0,"N","N","N","N","N","2010-02-22","1900-01-13","0007-1447",NA,NA,NA
"PMC2505564","PMC","PMC2505564","The Extermination of Anopheles: Some More Suggestions","Br Med J","2037","1","1900","107-108","letter","N","Y","Y","Y","N","N",0,"N","Y","N","N","N","2010-02-22","1900-01-13","0007-1447",NA,NA,NA
"PMC2505565","PMC","PMC2505565","Medical Organisation","Br Med J","2037","1","1900","109-109","letter","N","Y","Y","Y","N","N",0,"N","N","N","N","N","2010-02-22","1900-01-13","0007-1447",NA,NA,NA
"PMC2505542","PMC","PMC2505542","The “Duty” to Send Information to the Coroner","Br Med J","2037","1","1900","109-109","letter","N","Y","Y","Y","N","N",0,"N","N","N","N","N","2010-02-22","1900-01-13","0007-1447",NA,NA,NA
"PMC2505543","PMC","PMC2505543","Magnesium Sulphate in Acute Dysentery","Br Med J","2037","1","1900","110-110","letter","N","Y","Y","Y","N","N",0,"N","Y","N","N","N","2010-02-22","1900-01-13","0007-1447",NA,NA,NA
"PMC2505545","PMC","PMC2505545","Ocean Voyages in Pulmonary Phthisis","Br Med J","2037","1","1900","108-108","letter","N","Y","Y","Y","N","N",0,"N","Y","N","N","N","2010-02-22","1900-01-13","0007-1447",NA,NA,NA
"PMC2505532","PMC","PMC2505532","British Medical Journal","Br Med J","2037","1","1900","91-98","research-article; journal article","N","Y","Y","Y","N","N",0,"N","N","N","N","N","2010-02-22","1900-01-13","0007-1447",NA,NA,NA
"PMC2505554","PMC","PMC2505554","An Epitome of Current Medical Literature","Br Med J","2037","1","1900","E5-E8","research-article; journal article","N","Y","Y","Y","N","N",0,"N","N","N","N","N","2010-02-22","1900-01-13","0007-1447",NA,NA,NA
"PMC2505569","PMC","PMC2505569","Public Health and Poor-Law Medical Services","Br Med J","2037","1","1900","115-117","research-article; journal article","N","Y","Y","Y","N","N",0,"N","N","N","N","N","2010-02-22","1900-01-13","0007-1447",NA,NA,NA
"PMC2505556","PMC","PMC2505556","The War in South Africa","Br Med J","2037","1","1900","99-104","research-article; journal article","N","Y","Y","Y","N","N",0,"N","N","N","N","N","2010-02-22","1900-01-13","0007-1447",NA,NA,NA
"PMC2505571","PMC","PMC2505571","Reports on Medical and Surgical Practice in the Hospitals and Asylums of the British Empire","Br Med J","2037","1","1900","74-75","research-article; journal article","N","Y","Y","Y","N","N",0,"N","N","N","N","N","2010-02-22","1900-01-13","0007-1447",NA,NA,NA
"PMC2505563","PMC","PMC2505563","Reports and Analyses and Descriptions of New Inventions in Medicine, Surgery, Dietetics and the Allied Sciences","Br Med J","2037","1","1900","82-82","research-article; journal article","N","Y","Y","Y","N","N",0,"N","Y","N","N","N","2010-02-22","1900-01-13","0007-1447",NA,NA,NA
"PMC2505525","PMC","PMC2505525","Reports of Societies","Br Med J","2037","1","1900","75-79","research-article; journal article","N","Y","Y","Y","N","N",0,"N","N","N","N","N","2010-02-22","1900-01-13","0007-1447",NA,NA,NA
"PMC2505534","PMC","PMC2505534","Medico-Legal and Medico-Ethical","Br Med J","2037","1","1900","114-115","research-article; journal article","N","Y","Y","Y","N","N",0,"N","N","N","N","N","2010-02-22","1900-01-13","0007-1447",NA,NA,NA
"PMC2505535","PMC","PMC2505535","Literary Notes","Br Med J","2037","1","1900","105-106","research-article; journal article","N","Y","Y","Y","N","N",0,"N","N","N","N","N","2010-02-22","1900-01-13","0007-1447",NA,NA,NA
"PMC2505538","PMC","PMC2505538","Royal Navy and Army Medical Services","Br Med J","2037","1","1900","113-114","research-article; journal article","N","Y","Y","Y","N","N",0,"N","N","N","N","N","2010-02-22","1900-01-13","0007-1447",NA,NA,NA
"PMC2505541","PMC","PMC2505541","Association Intelligence","Br Med J","2037","1","1900","106-106","research-article; journal article","N","Y","Y","Y","N","N",0,"N","N","N","N","N","2010-02-22","1900-01-13","0007-1447",NA,NA,NA
"PMC2121870","PMC","PMC2121870","AMERICAN PUBLIC HEALTH ASSOCIATION, SECTION OF BACTERIOLOGY AND CHEMISTRY","Journal of the Boston Society of Medical Sciences","4","4","1900","92-93","meeting-report; meeting report","N","Y","Y","Y","N","N",0,"N","N","N","N","N","2017-06-19","1900-01-10",NA,NA,NA,NA
"PMC2121869","PMC","PMC2121869","REPORT OF MEETING OF THE AMERICAN PUBLIC HEALTH ASSOCIATION; SECTION OF BACTERIOLOGY AND CHEMISTRY; MONDAY, OCTOBER 30, 1899","Journal of the Boston Society of Medical Sciences","4","4","1900","73-74","meeting-report; meeting report","N","Y","Y","Y","N","N",0,"N","N","N","N","N","2017-06-19","1900-01-10",NA,NA,NA,NA
"PMC2121867","PMC","PMC2121867","INSTRUCTION IN BACTERIOLOGY IN THE MEDICAL SCHOOLS OF AMERICA AND EUROPE","Journal of the Boston Society of Medical Sciences","4","4","1900","67-72","meeting-report; meeting report","N","Y","Y","Y","N","N",0,"N","N","N","N","N","2017-06-19","1900-01-10",NA,NA,NA,NA
"PMC5269979","PMC","PMC5269979","The Book World of Medicine and Science","Hospital (Lond 1886)","693","27","1900","230-230","book-review; book review","Y","Y","Y","Y","N","N",0,"N","N","N","N","N","2018-05-26","1900-01-06","0267-6478",NA,NA,NA
"PMC5269971","PMC","PMC5269971","The Late Sir James Paget","Hospital (Lond 1886)","693","27","1900","220-220","obituary","Y","Y","Y","Y","N","N",0,"N","N","N","N","N","2018-05-26","1900-01-06","0267-6478",NA,NA,NA
"PMC2505399","PMC","PMC2505399","Reviews","Br Med J","2036","1","1900","22-24","review-article; review; journal article","N","Y","Y","Y","N","N",0,"N","N","N","N","N","2010-02-22","1900-01-06","0007-1447",NA,NA,NA
"PMC2505364","PMC","PMC2505364","Henry Thompson, M.R.C.S., L.R.C.P.Lond","Br Med J","2036","1","1900","54-55","obituary","N","Y","Y","Y","N","N",0,"N","N","N","N","N","2010-02-22","1900-01-06","0007-1447",NA,NA,NA
"PMC2505393","PMC","PMC2505393","Sir James Paget, Bart., F.R.C.S.Eng., F.R.S","Br Med J","2036","1","1900","49-54","obituary","N","Y","Y","Y","N","N",0,"N","Y","N","N","N","2010-02-22","1900-01-06","0007-1447",NA,NA,NA
"PMC2505367","PMC","PMC2505367","An Address on the Political Aspects of Current Medical Topics : Delivered at a Meeting of the Aberdeen, Banff, and Kincardine Branch of the British Medical Association on December 20th, 1899","Br Med J","2036","1","1900","8-10","meeting-report; meeting report","N","Y","Y","Y","N","N",0,"N","N","N","N","N","2010-02-22","1900-01-06","0007-1447",NA,NA,NA
"PMC2505379","PMC","PMC2505379","The Annual Meeting at Portsmouth","Br Med J","2036","1","1900","29-29","meeting-report; meeting report","N","Y","Y","Y","N","N",0,"N","N","N","N","N","2010-02-22","1900-01-06","0007-1447",NA,NA,NA
"PMC2505405","PMC","PMC2505405","Army Medical Service: Errata","Br Med J","2036","1","1900","55-55","correction; corrected and republished article","N","Y","Y","Y","N","N",0,"N","N","N","N","N","2010-02-22","1900-01-06","0007-1447",NA,NA,NA
"PMC2505391","PMC","PMC2505391","Special Correspondence","Br Med J","2036","1","1900","43-44","letter","N","Y","Y","Y","N","N",0,"N","N","N","N","N","2010-02-22","1900-01-06","0007-1447",NA,NA,NA
"PMC2505358","PMC","PMC2505358","Piperazin in Gout","Br Med J","2036","1","1900","48-48","letter","N","Y","Y","Y","N","N",0,"N","Y","N","N","N","2010-02-22","1900-01-06","0007-1447",NA,NA,NA
"PMC2505360","PMC","PMC2505360","Medical Organisation","Br Med J","2036","1","1900","44-45","letter","N","Y","Y","Y","N","N",0,"N","N","N","N","N","2010-02-22","1900-01-06","0007-1447",NA,NA,NA
"PMC2505362","PMC","PMC2505362","Ocean Voyages in Pulmonary Phthisis","Br Med J","2036","1","1900","47-47","letter","N","Y","Y","Y","N","N",0,"N","Y","N","N","N","2010-02-22","1900-01-06","0007-1447",NA,NA,NA
"PMC2505368","PMC","PMC2505368","Medical Organisation","Br Med J","2036","1","1900","44-44","letter","N","Y","Y","Y","N","N",0,"N","N","N","N","N","2010-02-22","1900-01-06","0007-1447",NA,NA,NA
"PMC2505369","PMC","PMC2505369","The Cleansing of the Surgeon's Hands","Br Med J","2036","1","1900","48-48","letter","N","Y","Y","Y","N","N",0,"N","N","N","N","N","2010-02-22","1900-01-06","0007-1447",NA,NA,NA
